target,id,date,flag,user,text
4,1467882425,Mon Apr 06 22:38:36 PDT 2009,NO_QUERY,Julia_xxoo,tafe quiz then PHOTOSHOOT with my sezdawg 
4,1467937329,Mon Apr 06 22:53:54 PDT 2009,NO_QUERY,DeenaWilliams,"@RyanStar  Hey Ryan, just thought I'd say that u put on a great show in Radford Sunday night, &amp; I'm so glad I got to meet you! "
4,1468007072,Mon Apr 06 23:13:41 PDT 2009,NO_QUERY,pluggdin,@KesavaReddy  mba is good for learning tools/techniques..but one shouldn't start taking the jargons seriously!
4,1468145953,Mon Apr 06 23:58:07 PDT 2009,NO_QUERY,InYourEyes2410,@tommcfly haha morning then. i think (aussie here) wheat bix with honey!! or maple syrup and milk 
4,1468407270,Tue Apr 07 01:28:50 PDT 2009,NO_QUERY,Anjuli_nz,@Azlemed thats good 
4,1468668669,Tue Apr 07 03:03:37 PDT 2009,NO_QUERY,davidwhittam,"@christhebarker I've done dailies, weeklies and monthlies. Wouldn't mind an annual next "
4,1468785849,Tue Apr 07 03:43:37 PDT 2009,NO_QUERY,claritypro,"@NitaJoy Sure, how do you take it?  I have herbal, regular PG Tips and Twinings..."
4,1468884711,Tue Apr 07 04:14:10 PDT 2009,NO_QUERY,DaveScouller,"At birdworld and the place is full of kids, I'm the only one without a child in toe... Easter holidays for you "
4,1469223033,Tue Apr 07 05:39:58 PDT 2009,NO_QUERY,GymUnzy76,hoping to score seats for NKOTB in June today!  fingers crossed 
4,1469244513,Tue Apr 07 05:44:30 PDT 2009,NO_QUERY,NikkiJ0y,@acapotorto aww sorry don't you that hate! yuck! have fun in the city today 
4,1469758046,Tue Apr 07 07:19:56 PDT 2009,NO_QUERY,fallendownonu,"Sittin' on my butt, waiting on my new car "
4,1550939749,Sat Apr 18 07:41:36 PDT 2009,NO_QUERY,miirian,english classes on sunday morning? i can get it  good morning people
4,1551490416,Sat Apr 18 09:11:43 PDT 2009,NO_QUERY,Kelloggs_8D,Watching Spongebob!! 
4,1553305298,Sat Apr 18 13:54:47 PDT 2009,NO_QUERY,dolari,@dmlaenker - dunno who that is.  I'm too noobish to know much about the people in curling. 
4,1553367848,Sat Apr 18 14:04:45 PDT 2009,NO_QUERY,Mellyy13,Studying addictions psychology ... last exam next week ! Can't wait for Summmmerr 
4,1555791792,Sat Apr 18 20:42:19 PDT 2009,NO_QUERY,ozdj,@rpartain @josh909 @DDsD @craigthomler Thanks for the insight. Sounds kind of fun 
4,1556092020,Sat Apr 18 21:37:11 PDT 2009,NO_QUERY,katherineeee_,Talent show was awesoome. I'm going to upload vids laterr 
4,1556092176,Sat Apr 18 21:37:12 PDT 2009,NO_QUERY,flipzy26,making chicken 
4,1556094056,Sat Apr 18 21:37:35 PDT 2009,NO_QUERY,Lanettema,Not happy but gonna try to sleep it off. 
4,1556384035,Sat Apr 18 22:37:46 PDT 2009,NO_QUERY,boycaught,@Meryl333 you are too kind! 
4,1556448080,Sat Apr 18 22:52:40 PDT 2009,NO_QUERY,swayshay,@just_catherine oh well hey that's cool! Welcome to boring lame o Colorado!!  ha-ha!
